Day,InterpolatedProbability
0,0.03341583204930662
1,0.03107577041602465
2,0.02873570878274268
3,0.02639564714946071
4,0.024055585516178736
5,0.021715523882896763
6,0.01937546224961479
7,0.017035400616332817
8,0.014695338983050846
9,0.012355277349768875
10,0.010015215716486902
11,0.007675154083204931
12,0.005335092449922958
13,0.0029950308166409867
14,0.0014393478260869563
15,0.0006680434782608692
16,0.0001
17,0.0001
18,0.0001
19,0.0001
20,0.0001
21,0.0001
22,0.0001
23,0.0001
24,0.0001
25,0.0001
26,0.0001
27,0.0001
28,0.0001
29,0.0001
30,0.0001
31,0.0001
32,0.0001
33,0.0001
34,0.0001
35,0.0001
36,0.0001
37,0.0001
38,0.0001
39,0.0001
40,0.0001
41,0.0001
42,0.0001
43,0.0001
44,0.0001
45,0.0001
46,0.0001
47,0.0001
48,0.0001
49,0.0001
50,0.0001
51,0.0001
52,0.0001
53,0.0015649420289855082
54,0.0037939275362318843
55,0.006022913043478262
56,0.00785397115384615
57,0.0061036826923076895
58,0.0043533942307692275
59,0.0026031057692307655
60,0.0008528173076923036
61,0.0001
62,0.0001
63,0.0001
64,0.0001
65,0.0001
66,0.0001
67,0.0001
68,0.0001
69,0.0001
70,0.0001
71,0.0001
72,0.0001
73,0.0025898653846153827
74,0.005250442307692305
75,0.007911019230769227
76,0.010571596153846148
77,0.011768913043478267
78,0.009551956521739133
79,0.007335
80,0.005118043478260868
81,0.002901086956521734
82,0.0006841304347826004
83,0.0001
84,0.0001
85,0.000978864864864878
86,0.003723054054054066
87,0.006467243243243254
88,0.009211432432432439
89,0.011955621621621629
90,0.014699810810810815
91,0.017444
92,0.14827099999999993
93,0.15932100000000002
94,0.15978777777777778
95,0.1722353333333334
96,0.105004
97,0.163008
98,0.13737757142857143
99,0.0630287142857143
100,0.0001
101,0.0001
102,0.0001
103,0.0001
104,0.0001
105,0.0001
106,0.0001
107,0.0001
108,0.0001
109,0.0001
110,0.0001
111,0.0001
112,0.0001
113,0.0001
114,0.0001
115,0.0001
116,0.06281499999999998
117,0.047475
118,0.0001
119,0.0001
120,0.0001
121,0.0001
122,0.0001
123,0.0001
124,0.0001
125,0.0001
126,0.0
127,0.0001
128,0.0001
129,0.0001
130,0.0001
131,0.0001
132,0.0001
133,0.0001
134,0.0001
135,0.0001
136,0.0001
137,0.0001
138,0.0001
139,0.0001
140,0.0001
141,0.0001
142,0.0001
143,0.0001
144,0.0001
145,0.0013060000000000016
146,0.012871000000000007
147,0.024436
148,0.014673714285714285
149,0.00491142857142857
150,0.0001
151,0.0001
152,0.0001
153,0.0001
154,0.0001
155,0.0001
156,0.0001
157,0.0001
158,0.0001
159,0.0001
160,0.0001
161,0.0001
162,0.0001
163,0.0001
164,0.0001
165,0.0001
166,0.0001
167,0.0001
168,0.0001
169,0.0001
170,0.0001
171,0.0001
172,0.014369857142857143
173,0.03306357142857143
174,0.051757285714285714
175,0.070451
176,0.07415657142857143
177,0.07786214285714285
178,0.08156771428571429
179,0.08527328571428572
180,0.08897885714285714
181,0.09268442857142857
182,0.09639
183,0.0830918888888889
184,0.06979377777777777
185,0.056495666666666666
186,0.04319755555555555
187,0.029899444444444437
188,0.01660133333333333
189,0.0033032222222222074
190,0.0001
191,0.0001
192,0.0001
193,0.0001
194,0.0001
195,0.0001
196,0.0001
197,0.0001
198,0.0001
199,0.0001
200,0.0001
201,0.0001
202,0.0001
203,0.0001
204,0.0001
205,0.0001
206,0.0001
207,0.0001
208,0.0001
209,0.0001
210,0.0001
211,0.0001
212,0.0001
213,0.0001
214,0.0001
215,0.0001
216,0.0001
217,0.0001
218,0.0001
219,0.0001
220,0.0001
221,0.0001
222,0.0001
223,0.0001
224,0.0001
225,0.0001
226,0.0001
227,0.0001
228,0.0001
229,0.0001
230,0.0001
231,0.0001
232,0.0001
233,0.0001
234,0.0001
235,0.0001
236,0.0001
237,0.0001
238,0.0001
239,0.0001
240,0.074977
241,0.07950750000000001
242,0.084038
